"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",31.4462795319738,41.9070058117894,11.6369501337678,18.0581665501484,40.8257308537814,20.924976437087,70.7621115760613,50.6804760682618,10.660547079182,50.6180053446031,91.184766451226,80.8998116403977
"2",31.5805674949149,41.3920704483773,12.0822652515534,17.9809586474703,41.393791480425,20.032512582286,70.168685782319,49.6549772617937,9.50430071447212,48.7603693907278,88.6673460811353,79.0301423020709
"3",29.5915752918996,40.3383002149468,9.46072454561504,15.2594307513092,39.1914178999317,19.3747078380096,70.1755198127028,49.4303222101627,9.235219695011,49.4435368483406,89.2919489018429,79.1284610648718
"4",28.5104159728496,38.4104458977011,9.83491919796844,14.3964824382184,39.3874321068186,21.7962972124013,71.2593040301155,51.5398001378588,10.5005946927993,50.1047084452519,90.138144778553,79.7765701134111
"5",29.6681876612024,39.7821390611186,10.6138656905424,16.214439877187,40.6131069503967,19.2349418397467,69.3455975880877,48.9183985282427,9.52664321338089,49.3855713794706,89.2017662288485,79.1110099238658
"6",30.8571198716062,41.0610699482023,11.1522162280935,16.8032388578254,41.3424370133906,19.2747477418821,68.3570101320116,48.720601614453,9.049446195396,49.0945687938337,89.2582365217805,79.0665340385276
"7",31.6388599719721,41.1981721999682,11.1186018728019,17.0118528741423,41.8392946137023,19.7686819222094,70.0179963477593,50.568877101271,9.41460738085437,49.6766338792523,89.9609852769716,79.9416215074692
"8",29.1269845539507,39.8488418995236,9.01936778227984,14.777032759665,39.1584791650188,19.3454228591582,69.6796332041829,49.691185057922,10.452905342755,50.6543235842473,90.2797709112277,80.39644163313
"9",30.6596880542935,40.8024787356768,10.8434718743745,16.2098708081576,40.9695727638684,20.7980007367935,70.2243347180489,50.9592632630026,8.51659185895897,48.8869949570571,89.5171247074856,79.2052544178425
"10",30.6104833885291,40.7109782563226,10.5100583618161,16.4548184140318,41.6721496628472,20.7236133784795,70.4007100777812,50.5370382414886,9.79991654838687,50.5834804003454,89.7816563612596,79.6988952624692
"11",29.7066704640854,39.8818811055111,10.4636526643345,15.9837806010652,39.8839268957933,23.2189077912142,72.6340366943039,52.5193957904267,10.6618297971359,50.3813239106969,90.7915170474326,80.8124440769238
"12",30.4477806540364,40.4406236795165,10.177001432068,16.1158595999775,39.7913731105378,21.5973452674897,71.2405161544637,51.5824763921591,12.0098400208154,51.4783872821156,92.0068820308619,81.4040755680711
"13",28.7428118529911,38.3055388382598,8.1712422330485,14.9091181572684,37.9203108752834,18.5592038176753,68.8129327087733,48.7207562911888,8.93260368755758,48.6220527549299,89.5901790299019,79.1885511848549
"14",29.3646700704069,39.3322630818371,9.17407090128511,15.6183238560832,39.5462507169063,20.754086162455,70.379897749403,50.3524622658818,10.5755823696916,50.6827389052133,90.0417884894385,81.0228956227121
"15",29.1376177745105,38.8613864834199,9.99605186118067,15.9623314174449,38.2975299929084,19.8729130607138,70.1745281011225,49.8531013625207,9.75504088115111,49.3641717194172,89.5021452611289,79.548966935462
"16",30.0253117271777,40.1727654154294,9.21263678772401,15.6219451342147,39.871870113654,19.9156393871571,70.0722255533313,49.6953132508733,9.77644966976033,49.5200858044188,90.2842617365339,79.8112322097554
"17",29.0851087020407,39.6053965534918,9.51293217552454,15.5306254000964,39.193568543114,21.6927581334078,71.7168285711649,51.7701505829276,10.7360895609974,50.4452738550478,90.4116494091212,80.4643510812793
"18",29.8941195855362,39.6860567238224,10.0199764548183,15.8139445319478,40.3650173894861,21.1932969682403,70.4271836192197,50.7064546990914,10.4436020346051,49.8933876497243,90.8368866239151,80.2643964632183
"19",31.0323610282031,40.4001860682851,10.5214860638733,17.0115264078604,41.2715363222221,18.4573732060433,68.0965171549582,48.4637756946082,9.9756833104229,49.6461675196185,90.0492382078193,79.6147270505967
"20",30.0272673160252,40.1288367174244,9.77239708983045,16.0660446304703,40.2748190337739,19.4027792328213,69.004371440761,48.117508818015,9.30215196646081,49.8923438604613,89.4056839326962,79.3529177081462
"21",31.1591056089226,40.163053561108,10.2399057260114,16.950323892939,41.0002893957426,20.7055159581669,70.6348890995341,50.4065783498212,10.6597124357578,51.2501494673737,91.1357560216638,81.5818973732809
"22",29.3769538358143,38.9293205580737,9.26737417111642,16.2405797135125,38.8526531984331,19.1647243575015,69.4135969878239,49.4805850903685,8.8084587114799,49.4752580491155,88.4376807489627,79.0402262330014
